"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"남구",147500,70522,76978,145655,69762,75893,1845,760,1085,68768,68268,56,444,41984,19544,15322,562,5661,895,1033
"북구",446050,222873,223177,439084,219367,219717,6966,3506,3460,176876,174696,84,2096,143485,20070,113473,1851,6239,1852,3644
"수성구",415283,202137,213146,412809,201042,211767,2474,1095,1379,158648,157906,44,698,136216,21415,105136,1305,7196,1164,2632
"달서구",574390,285722,288668,561077,277785,283292,13313,7937,5376,228034,224644,127,3263,183594,20945,152599,1359,6708,1983,3164
"달성군",258474,132291,126183,249772,126612,123160,8702,5679,3023,98057,95751,79,2227,95011,12987,78337,665,2052,970,2699
"인천광역시",2952237,1484528,1467709,2852063,1427538,1424525,100174,56990,43184,1150455,1120576,839,29040,1019365,97302,648403,26309,238301,9050,78151
"읍부",21707,10746,10961,21367,10585,10782,340,161,179,8688,8595,9,84,8770,3358,1155,819,3287,151,254
"면부",62568,32961,29607,61343,32087,29256,1225,874,351,27670,27315,63,292,28084,23467,1929,559,1496,633,1457
"동부",2867962,1440821,1427141,2769353,1384866,1384487,98609,55955,42654,1114097,1084666,767,28664,982511,70477,645319,24931,233518,8266,76440
"중구",131863,68277,63586,126612,65455,61157,5251,2822,2429,57204,55660,66,1478,50445,8168,32038,1810,7736,693,5360
"동구",63003,31760,31243,61744,31053,30691,1259,707,552,25539,25183,18,338,24497,6442,14429,320,3031,275,637
"연수구",374413,186902,187511,355529,176863,178666,18884,10039,8845,136244,130428,70,5746,119272,3506,108138,892,6438,298,7068
"남동구",533119,267291,265828,515481,255756,259725,17638,11535,6103,208136,203704,135,4297,185746,8362,126782,3093,46245,1264,16311
"부평구",514385,254711,259674,493540,244177,249363,20845,10534,10311,202092,194930,114,7048,169538,11457,107421,4404,44882,1374,19869
"계양구",298912,148434,150478,294175,146295,147880,4737,2139,2598,114163,112858,76,1229,106268,3770,67831,1730,32293,644,3924
"서구",540655,275606,265049,523012,263711,259301,17643,11895,5748,200391,195663,130,4598,181040,8754,120480,8738,42088,980,9076
"미추홀구",411612,207840,203772,399260,201556,197704,12352,6284,6068,170328,166240,158,3930,145705,20018,68200,3944,50805,2738,14195
"강화군",65235,32781,32454,64004,31985,32019,1231,796,435,27377,27048,65,264,28714,20830,2347,1031,3932,574,1300
"옹진군",19040,10926,8114,18706,10687,8019,334,239,95,8981,8862,7,112,8140,5995,737,347,851,210,411
"광주광역시",1489730,741287,748443,1456444,722939,733505,33286,18348,14938,596078,587159,418,8501,526161,82695,419567,9383,8649,5867,14214
"동구",103754,51747,52007,101181,50421,50760,2573,1326,1247,45719,44954,55,710,37639,11221,22269,913,2328,908,1472
"서구",298033,147067,150966,295601,145929,149672,2432,1138,1294,123669,122889,56,724,105064,14035,87006,1413,1559,1051,4875
"남구",217972,105267,112705,215820,104374,111446,2152,893,1259,86624,86172,51,401,80261,15822,60858,1484,1254,843,1364
"북구",446661,222727,223934,439737,219360,220377,6924,3367,3557,180639,178759,109,1771,159349,23603,128621,2307,2686,2132,3288
"광산구",423310,214479,208831,404105,202855,201250,19205,11624,7581,159427,154385,147,4895,143848,18014,120813,3266,822,933,3215
"대전광역시",1498839,751585,747254,1473692,739521,734171,25147,12064,13083,616363,609043,482,6838,492797,80106,362190,10470,34727,5304,12247
"동구",237273,119605,117668,230735,116497,114238,6538,3108,3430,102600,100718,102,1780,79740,19205,50046,2281,7047,1161,1112
"중구",234995,115835,119160,232914,115035,117879,2081,800,1281,96758,96106,84,568,82320,18325,51740,2470,8315,1470,1278
"서구",480920,236242,244678,476257,234264,241993,4663,1978,2685,198286,196870,115,1301,152276,20466,121291,2573,6948,998,4131
"유성구",366544,189078,177466,357945,184541,173404,8599,4537,4062,145746,143172,125,2449,117035,11272,99621,1585,3683,874,4638
"대덕구",179107,90825,88282,175841,89184,86657,3266,1641,1625,72973,72177,56,740,61426,10838,39492,1561,8734,801,1088
"울산광역시",1143692,591965,551727,1115088,574546,540542,28604,17419,11185,445731,437094,234,8403,391596,66107,286234,7900,24809,6546,11446
"읍부",171448,89957,81491,164125,85278,78847,7323,4679,2644,64098,61634,36,2428,59259,9840,44709,1139,2723,848,1033
"면부",55053,29048,26005,51900,26482,25418,3153,2566,587,23386,22760,55,571,23734,11938,9151,799,1326,520,1542
"동부",917191,472960,444231,899063,462786,436277,18128,10174,7954,358247,352700,143,5404,308603,44329,232374,5962,20760,5178,8871
"중구",219428,111433,107995,216449,110164,106285,2979,1269,1710,87819,86756,22,1041,70927,15158,45581,1893,6933,1362,2037
"남구",322135,164591,157544,315224,160907,154317,6911,3684,3227,130986,128579,67,2340,108443,13943,81739,2191,8252,2318,5022
"동구",162104,86075,76029,157271,82900,74371,4833,3175,1658,61905,60684,26,1195,53125,7904,39209,1391,3778,843,972
"북구",213524,110861,102663,210119,108815,101304,3405,2046,1359,77537,76681,28,828,76108,7324,65845,487,1797,655,840
"울주군",226501,119005,107496,216025,111760,104265,10476,7245,3231,87484,84394,91,2999,82993,21778,53860,1938,4049,1368,2575
"세종특별자치시",338136,170148,167988,330307,165288,165019,7829,4860,2969,131679,129664,102,1913,132257,16168,112722,1113,1547,707,3204
"읍부",50338,26341,23997,48174,25150,23024,2164,1191,973,21296,20455,32,809,16615,2954,11665,739,890,367,349
"면부",51408,28335,23073,47450,25419,22031,3958,2916,1042,23448,22600,63,785,18750,12847,4725,187,651,340,1131
"동부",236390,115472,120918,234683,114719,119964,1707,753,954,86935,86609,7,319,96892,367,96332,187,6,X,1724
"세종시",338136,170148,167988,330307,165288,165019,7829,4860,2969,131679,129664,102,1913,132257,16168,112722,1113,1547,707,3204
"경기도",13300900,6740448,6560452,12706105,6385194,6320911,594795,355254,239541,5097857,4907660,4151,186046,4354776,504227,3021258,128890,665613,34788,260676
"읍부",1459827,760526,699301,1372375,702336,670039,87452,58190,29262,554215,531700,678,21837,518902,83349,317600,23602,88908,5443,23494
"면부",807497,448730,358767,710653,374316,336337,96844,74414,22430,314331,293320,1064,19947,271478,162386,57854,9029,35784,6425,29411
"동부",11033576,5531192,5502384,10623077,5308542,5314535,410499,222650,187849,4229311,4082640,2409,144262,3564396,258492,2645804,96259,540921,22920,207771
"수원시",1214986,614493,600493,1158800,584662,574138,56186,29831,26355,479379,457351,236,21792,371665,32583,271865,8617,56042,2558,20354
"장안구",282288,143174,139114,271875,137699,134176,10413,5475,4938,107308,103478,78,3752,85567,8933,55140,1760,18999,735,1259
"권선구",374770,189282,185488,359431,181368,178063,15339,7914,7425,147324,141421,41,5862,119081,10332,85224,2299,20378,848,3383
"팔달구",189052,95973,93079,168601,84799,83802,20451,11174,9277,83269,74470,65,8734,57334,9256,31119,1927,14297,735,5510
"영통구",368876,186064,182812,358893,180796,178097,9983,5268,4715,141478,137982,52,3444,109683,4062,100382,2631,2368,240,10202
"성남시",919895,455369,464526,893188,441870,451318,26707,13499,13208,371437,361413,120,9904,257377,33268,178415,10754,33335,1605,30439
"수정구",241256,121729,119527,225627,113783,111844,15629,7946,7683,105491,98955,39,6497,59333,18020,28261,985,11460,607,3451
"중원구",216005,108919,107086,211236,106644,104592,4769,2275,2494,90746,88878,38,1830,59647,9958,27942,938,20049,760,4908
"분당구",462634,224721,237913,456325,221443,234882,6309,3278,3031,175200,173580,43,1577,138397,5290,122212,8831,1826,238,22080
"의정부시",440357,216737,223620,433491,213519,219972,6866,3218,3648,172232,170040,117,2075,150397,12824,112432,2882,21159,1100,4950
"안양시",557339,275659,281680,546191,270130,276061,11148,5529,5619,209927,205695,87,4145,178130,9588,130792,3349,33166,1235,9975
"만안구",246200,122820,123380,237827,118626,119201,8373,4194,4179,95935,92620,65,3250,76286,6643,45698,2082,21119,744,3404
"동안구",311139,152839,158300,308364,151504,156860,2775,1335,1440,113992,113075,22,895,101844,2945,85094,1267,12047,491,6571
"부천시",836751,415264,421487,801074,397134,403940,35677,18130,17547,324811,311910,199,12702,267622,17419,151839,7381,88301,2682,20243
"광명시",313462,154896,158566,304507,150471,154036,8955,4425,4530,118926,115414,36,3476,103740,5604,72433,1627,23502,574,4952
"평택시",521172,271966,249206,487635,252234,235401,33537,19732,13805,208466,197997,204,10265,210018,33237,138240,7393,29087,2061,6493
"동두천시",96541,48387,48154,91940,45802,46138,4601,2585,2016,38390,37297,60,1033,37452,6557,21511,2547,6451,386,1017
"안산시",714650,370739,343911,635294,325047,310247,79356,45692,33664,283124,253140,307,29677,207974,15746,104870,9166,76800,1392,11565
"상록구",356620,181899,174721,337575,171951,165624,19045,9948,9097,141936,134952,114,6870,105887,8001,41721,1233,54188,744,2125
