"","Keyword","Title","Writer","averageRating","ratingAmount","reviewAmount","Summary"
"11","the chronicles of narnia","The Wizard's Dessert Cookbook: Magical Recipes Inspired by Harry Potter, The Hobbit, Fantastic Beasts, The Chronicles of Narnia, and More","Aurelia Beaupommier","3.82","49","10","Make your next family meal or celebration special with a magic dessert inspired by the stories and characters of JRR Tolkien, JK Rowling, Roald Dahl, CS Lewis, and many more!From Hobbits to Willy Wonka to Ghostbusters, from Harry Potter to Merlin, wizards and fantastic creatures alike like to put a little sweetness in their daily lives. There are bites to snack and share, charming cookies and cakes, and divine desserts that are full of mystery! Discover all their wonderful recipes, including:Butterbeer (Harry Potter)Paige°Øs pecan tartlets (Charmed)Gingerbread men (Shrek)Energy spheres from Dungeons and DragonsPeculiar°Øs eyes (Miss Peregrine°Øs Home for Peculiar Children movie)Lucy Pevensie°Øs magic cordial (The Chronicles of Narnia)Bilbo°Øs 111th birthday cake (The Lord of the Rings)Queenie Goldstein°Øs strudel (Fantastic Beasts and Where to Find Them)And many, many more!Whether you are a beginner wizard or a confirmed alchemist, you will see, dessert is the preferable food of all magical creatures!"
"12","the chronicles of narnia","The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)","Robin Lawrie, C.S. Lewis","4.42","34832","63","They open a door and enter a world. Narnia... the land beyond the wardrobe, the secret country known only to Peter, Susan, Edmund, and Lucy... the place where the adventure begins.Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first, no one believes her when she tells of her adventures in the land of Narnia.But soon Edmund and then Peter and Susan discover the Magic and meet Aslan, the Great Lion, for themselves. In the blink of an eye, their lives are changed forever.A fully illustrated version of the most popular book in The Chronicles of Narnia, with glowing full page artwork and an abridged text for easier reading."
"13","the chronicles of narnia","The Chronicles of Narnia and Philosophy: The Lion, the Witch, and the Worldview","Gregory Bassham, William Irwin, Jerry L. Walls","4.11","422","24","The Chronicles of Narnia series has entertained millions of readers, both children and adults, since the appearance of the first book in 1950. Here, scholars turn the lens of philosophy on these timeless tales. Engagingly written for a lay audience, these essays consider a wealth of topics centered on the ethical, spiritual, mythic, and moral resonances in the adventures of Aslan, the Pevensie children, and the rest of the colorful cast. Do the spectacular events in Narnia give readers a simplistic view of human choice and decision making? Does Aslan offer a solution to the problem of evil? What does the character of Susan tell readers about Lewis°Øs view of gender? How does Lewis address the Nietzschean °∞master morality°± embraced by most of the villains of the Chronicles? With these and a wide range of other questions, this provocative book takes a fresh view of the world of Narnia and expands readers°Ø experience of it."
"14","the chronicles of narnia","The Narnia Cookbook: Foods from C. S. Lewis's The Chronicles of Narnia","Douglas Gresham, Pauline Baynes","3.86","E","E","Find out what was in the irresistible Turkish Delight that Edmund found so tempting. Discover how Mr. Tumnus prepared the sugar-topped cake that Lucy found so scrumptious. The Narnia Cookbook is a celebration of the many wonderful dishes described in C. S. Lewis's beloved The Chronicles of Narnia. From chestnut stuffing to Lucy's roast apples, this book is brimming with wonderful recipes. Introductions to each recipe and stories linking each dish to the Chronicles themselves are written by Lewis's stepson, Douglas Gresham. This is a fascinating look into Lewis's life and a delicious way to celebrate the World of Narnia time and time again."
"15","the chronicles of narnia","A Family Guide to Narnia: Biblical Truths in C.S. Lewis's the Chronicles of Narnia","Christin Ditchfield","4.32","E","E","Do you read The Chronicles of Narnia sensing that the stories are full of biblical parallels, even if you're not always sure what they are or where to find them? This user-friendly companion to The Chronicles of Narnia is written for C. S. Lewis readers like you who want to discover the books' biblical and Christian roots. Read it, and you'll find that this chapter-by-chapter, book-by-book examination of The Chronicles will widen your spiritual vision."
"16","the chronicles of narnia","Believing in Narnia: A Kid's Guide to Unlocking the Secret Symbols of Faith in C.S. Lewis' The Chronicles of Narnia","Natalie Nichols Gillespie","3.98","51","11","Shows the Christian message within The Chronicles of Narnia¢ÁTo coincide with the release of Prince Caspian, this book helps kids ages 7-11, understand the symbolism of the Christian faith written by C.S. Lewis in the Chronicles of Narnia series. Christian concepts are simply explained, along with excerpts from the Narnia books. Each section of the book explains the characters, events, places, and themes and gives insight in the spiritual parallels.Kids, parents, teachers and ministers will all find this to be a great tool for use in preparing to see the movie."
"17","the chronicles of narnia","The Lion, the Witch and the Wardrobe (Chronicles of Narnia #1)","Harry Gregson-Williams","4.39","488","8","(Piano/Vocal/Guitar Songbook). All nine songs from the soundtrack to the fantasy film follow-up to The Lion, The Witch and The Wardrobe, featuring music from composer Harry Gregson-Williams, as well as Regina Spektor (""The Call"") and Switchfoot (""This Is Home""). Also features great full-color scenes from the film. Includes: Arrival at Aslan's How * A Dance 'Round the Memory Tree * The Door in the Air * Journey to the How * The Kings and Queens of Old * Lucy * Return of the Lion."
"18","the chronicles of narnia","Inside ""The Lion, the Witch and the Wardrobe"": Myths, Mysteries, and Magic from the Chronicles of Narnia","C.S. Lewis","4.59","56","2","E"
"19","the chronicles of narnia","Articles on the Chronicles of Narnia Books, Including: The Chronicles of Narnia, the Magician's Nephew, Prince Caspian, the Lion, the Witch and the Wardrobe, the Last Battle, the Horse and His Boy, the Voyage of the Dawn Treader","James Stuart Bell, Linda Washington, Carrie Pyykkonen","3.56","50","4","The Chronicles of Narnia are among some of the most beloved children's books of all time. Now, for the first time ever, comes an interactive guide for young readers. Take an in depth journey into to help them further explore The Lion, the Witch and the Wardrobe. This book answers many of the ""who, what, when, where, and why"" questions of the first Narnia book. For example:*Why is Aslan a lion?*What exactly is Turkish Delight?*How was C. S. Lewis inspired to write LWW?*And many more facts, questions, and answers you may or may not want to know about!!The guide will also include, trivia, games, and fascinating facts abouta dictionary of Narnia terms. This practical guide will be the ultimate resource for readers who love The Lion, the Witch and the Wardrobe."
"20","the chronicles of narnia","The Lion, the Witch and the Wardrobe","Hephaestus Books","4.47","58","2","This book does not contain any of the Chronicles of Narnia, or any writings by C.S. Lewis.It consists entirely of reprints of readily available free online articles about the Chronicles of Narnia, copied from sites such as Wikipedia.Hephaestus Books represents a new publishing paradigm, allowing disparate content sources to be curated into cohesive, relevant, and informative books. To date, this content has been curated from Wikipedia articles and images under Creative Commons licensing, although as Hephaestus Books continues to increase in scope and dimension, more licensed and public domain content is being added. We believe books such as this represent a new and exciting lexicon in the sharing of human knowledge. This particular book is a collaboration focused on The Chronicles of Narnia books."
